"species","plotID","uncertainty","x","y"
"Acer saccharum Marshall","UNDE_013",0.97,-89.5371744847672,46.2279682189795
"Acer saccharum Marshall","UNDE_013",0.97,-89.5371986045207,46.2279091492235
"Acer saccharum Marshall","UNDE_013",0.97,-89.5372290858892,46.227905146132
"Acer saccharum Marshall","UNDE_013",0.97,-89.537142238345,46.2279490708898
"Acer saccharum Marshall","UNDE_013",0.97,-89.5371019827977,46.227922405548
"Acer saccharum Marshall","UNDE_013",0.97,-89.5371673957104,46.2278886099212
"Fraxinus americana L.","UNDE_013",0.78,-89.5372065406388,46.2279272292162
"Acer saccharum Marshall","UNDE_013",0.78,-89.5371107096434,46.227911534813
"Prunus serotina Ehrh.","UNDE_013",0.78,-89.5371052296295,46.2279618491111
"Acer saccharum Marshall","UNDE_013",0.78,-89.5371146019005,46.227967792257
"Acer saccharum Marshall","UNDE_013",0.78,-89.5370439894746,46.2279557356267
"Acer saccharum Marshall","UNDE_013",0.78,-89.5370079356746,46.2279657497808
"Acer saccharum Marshall","UNDE_013",0.78,-89.5370200234775,46.2279746888265
"Acer saccharum Marshall","UNDE_013",0.78,-89.5370494819557,46.227890671079
"Acer saccharum Marshall","UNDE_013",0.78,-89.5370549197756,46.2278828080862
"Acer saccharum Marshall","UNDE_013",0.78,-89.537113323131,46.227865003314
"Acer saccharum Marshall","UNDE_013",0.78,-89.5371101833531,46.2278523556224
"Unknown plant","UNDE_013",0.78,-89.5370954367802,46.2278480316996
"Acer saccharum Marshall","UNDE_013",1,-89.5370262514271,46.2278167404055
"Fraxinus americana L.","UNDE_013",1,-89.5370481836189,46.2278140196922
"Acer saccharum Marshall","UNDE_013",1,-89.5370489062706,46.2278488250241
"Fraxinus pennsylvanica Marshall","UNDE_013",1,-89.5369948751417,46.2278628202803
"Acer saccharum Marshall","UNDE_013",1,-89.5370176238737,46.2278772333853
"Acer saccharum Marshall","UNDE_013",0.89,-89.5370437323592,46.2279710544494
"Acer saccharum Marshall","UNDE_013",0.89,-89.537058949804,46.2279556477516
"Acer saccharum Marshall","UNDE_013",0.75,-89.5372446558314,46.2278278003007
"Acer saccharum Marshall","UNDE_013",0.75,-89.5372369489911,46.2278515061008
"Acer saccharum Marshall","UNDE_013",0.75,-89.5372144806911,46.2278576834177
"Acer saccharum Marshall","UNDE_013",0.75,-89.5372357204087,46.2278778165246
"Acer saccharum Marshall","UNDE_013",0.75,-89.5371819919992,46.2278682767179
"Acer saccharum Marshall","UNDE_013",0.75,-89.5371748529766,46.2278769061363
"Acer saccharum Marshall","UNDE_013",0.75,-89.5371643008111,46.2278649461796
"Acer saccharum Marshall","UNDE_013",0.75,-89.5371410342322,46.2278659855616
"Acer saccharum Marshall","UNDE_013",0.75,-89.5370899710515,46.2278307249296
"Acer saccharum Marshall","UNDE_013",0.75,-89.5371824799628,46.2278303812111
"Acer saccharum Marshall","UNDE_013",1,-89.5371612635599,46.2278999690682
"Acer saccharum Marshall","UNDE_013",0.97,-89.5372266260962,46.2279679567457
"Tilia americana L.","UNDE_013",1,-89.5371317238958,46.2277108664565
