"species","plotID","uncertainty","x","y"
"Populus tremuloides Michx.","UNDE_065",0.76,-89.5336246881361,46.2362584493049
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5336317446952,46.2362797485683
"Acer rubrum L.","UNDE_065",0.79,-89.5335740119216,46.2362778733912
"Acer saccharum Marshall","UNDE_065",0.79,-89.5335328246254,46.2362863941132
"Acer rubrum L.","UNDE_065",0.79,-89.5335603177213,46.2363049785437
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5334886906333,46.2363157652197
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5334396482198,46.2363253083499
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5334821967635,46.2363045466757
"Populus grandidentata Michx.","UNDE_065",0.79,-89.5333950384354,46.2362829040492
"Acer saccharum Marshall","UNDE_065",0.76,-89.5334501811049,46.2363052948597
"Acer saccharum Marshall","UNDE_065",0.74,-89.5333940716415,46.2362560526719
"Populus tremuloides Michx.","UNDE_065",0.74,-89.5333946615232,46.2362442655906
"Acer rubrum L.","UNDE_065",0.76,-89.5334694995718,46.236233575111
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5334731805913,46.2362504622164
"Abies balsamea (L.) Mill.","UNDE_065",0.79,-89.5335056944953,46.2362499658677
"Acer rubrum L.","UNDE_065",0.79,-89.5335793455468,46.2362565159263
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5335755346477,46.2362561121668
"Populus tremuloides Michx.","UNDE_065",0.74,-89.533392905057,46.2362263010717
"Populus tremuloides Michx.","UNDE_065",0.74,-89.5334100549592,46.2362164418802
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5334876981174,46.2362725064875
"Acer rubrum L.","UNDE_065",0.76,-89.5336895477258,46.2361578005492
"Populus tremuloides Michx.","UNDE_065",0.78,-89.5338941039497,46.2362681308934
"Picea glauca (Moench) Voss","UNDE_065",0.79,-89.5337347385771,46.2362603522066
"Populus tremuloides Michx.","UNDE_065",0.79,-89.5337506200442,46.2363088829748
