"species","plotID","uncertainty","x","y"
"Acer saccharum Marshall","UNDE_001",0.73,-89.5608509763469,46.2346434081819
"Acer rubrum L.","UNDE_001",0.73,-89.5608889898984,46.2345519214898
"Acer rubrum L.","UNDE_001",0.73,-89.5607965139389,46.2345683300017
"Acer rubrum L.","UNDE_001",0.73,-89.560807631121,46.2345713455786
"Acer rubrum L.","UNDE_001",0.73,-89.560807508656,46.2345793889821
"Fraxinus nigra Marshall","UNDE_001",0.73,-89.5608650517917,46.2346118993622
"Acer saccharum Marshall","UNDE_001",0.73,-89.5608829018938,46.2345990930772
"Fraxinus nigra Marshall","UNDE_001",0.73,-89.560846559633,46.2346088192476
"Fraxinus nigra Marshall","UNDE_001",0.73,-89.5608288511954,46.2346027930287
"Acer saccharum Marshall","UNDE_001",0.82,-89.5608368633914,46.2347161954141
"Acer saccharum Marshall","UNDE_001",0.82,-89.5608583861654,46.2346983622837
"Acer saccharum Marshall","UNDE_001",0.82,-89.5608648780309,46.2347042642764
"Picea glauca (Moench) Voss","UNDE_001",0.77,-89.5606967826084,46.2345950491909
"Acer rubrum L.","UNDE_001",0.73,-89.560803650633,46.2347092649487
"Acer rubrum L.","UNDE_001",0.73,-89.560732067832,46.2346319114887
"Acer rubrum L.","UNDE_001",0.81,-89.5606551842446,46.2346048096848
"Acer rubrum L.","UNDE_001",0.73,-89.5607189780175,46.2346111062818
"Abies balsamea (L.) Mill.","UNDE_001",0.73,-89.5606918608933,46.2346610054018
"Acer rubrum L.","UNDE_001",0.77,-89.5606632797172,46.2347150365444
"Acer rubrum L.","UNDE_001",0.73,-89.5607432253083,46.2346821060551
"Abies balsamea (L.) Mill.","UNDE_001",0.73,-89.5607575099854,46.2347017942175
"Acer rubrum L.","UNDE_001",0.73,-89.5608377764734,46.2346935708383
"Acer saccharum Marshall","UNDE_001",0.82,-89.5607722028026,46.2346596559459
"Acer saccharum Marshall","UNDE_001",0.82,-89.5607722028026,46.2346596559459
"Acer saccharum Marshall","UNDE_001",0.82,-89.5607722028026,46.2346596559459
