"species","plotID","uncertainty","x","y"
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.5448910584476,46.2430381398653
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.74,-89.5448836550855,46.2430377628822
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.544875526399,46.2430361332082
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.544874866253,46.2430444964493
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.5448599385617,46.2430742767183
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.74,-89.5448861221491,46.2430957979775
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.74,-89.5448761970849,46.2430958396371
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.5448195550643,46.2430289531725
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.74,-89.5448128469192,46.2430241581652
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.5448067922932,46.243020191715
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.74,-89.5447908491689,46.243018002461
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.74,-89.5447898001766,46.2430353970508
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.544723309863,46.2430310494169
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.5447253294511,46.2430362027555
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447566536016,46.2430451384732
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447726352931,46.2430495615756
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447743202652,46.2430274479738
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447047954127,46.2430978239131
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447213407241,46.2430963251091
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.5447308928537,46.2430619097714
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447672527253,46.243143976025
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.5447625466515,46.2431439709291
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447626868372,46.2431494211926
"Picea sp.","UNDE_002",0.73,-89.5447770658302,46.2430183037272
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.75,-89.5449218043478,46.2431287010012
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.75,-89.5448238469168,46.2431905662697
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5446894875939,46.2431134615757
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447378469173,46.2430892542931
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.75,-89.5449394491761,46.2431021956832
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.75,-89.5448919517609,46.2431465445124
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.75,-89.5449282297051,46.2431276357465
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.75,-89.5449361856411,46.2431222358838
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.75,-89.5448700708895,46.2431758226475
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.75,-89.5448594837724,46.243153373942
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5448143318667,46.2431817995309
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5448265495491,46.2431622426532
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.5448367891971,46.243106391823
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5448347084733,46.2431037893763
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.544882798636,46.2431118693549
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.73,-89.5447984317107,46.2431358785433
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.73,-89.5447746589222,46.2431333737059
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.73,-89.5447808343816,46.2430954759269
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.73,-89.5447169868917,46.2431207148127
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.8,-89.5447047031892,46.2431254008517
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.8,-89.544772590312,46.2431575711071
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.8,-89.5446850758113,46.2431752235683
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.8,-89.544734199078,46.2431743702431
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.8,-89.544710287527,46.243187318608
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.8,-89.5447088987124,46.2431400805265
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.8,-89.5447390130472,46.2431621242574
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.75,-89.5449167426129,46.243157388491
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.75,-89.5449131611012,46.2431557616229
"Larix laricina (Du Roi) K. Koch","UNDE_002",0.75,-89.5448843180152,46.2431173917121
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.75,-89.5449001018019,46.2431571530915
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_002",0.75,-89.5449178786397,46.2431769607092
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_002",0.75,-89.5448304031074,46.2431888055448
