"species","plotID","uncertainty","x","y"
"Acer rubrum L.","UNDE_056",0.76,-89.5429776191389,46.2320191786757
"Populus tremuloides Michx.","UNDE_056",0.76,-89.5430547174944,46.2321424887097
"Populus grandidentata Michx.","UNDE_056",0.74,-89.5431260422885,46.2321928011912
"Populus grandidentata Michx.","UNDE_056",0.76,-89.5430233718898,46.2321103515711
"Acer rubrum L.","UNDE_056",0.79,-89.5430091624782,46.2322379600375
"Acer rubrum L.","UNDE_056",0.74,-89.543047977332,46.2322208942201
"Populus tremuloides Michx.","UNDE_056",0.73,-89.5431103187739,46.2320021255553
"Populus tremuloides Michx.","UNDE_056",0.76,-89.5429787103748,46.2320227171167
"Acer rubrum L.","UNDE_056",0.74,-89.5430946665683,46.2322154345402
"Acer rubrum L.","UNDE_056",0.76,-89.5429241194651,46.2319695335504
"Abies balsamea (L.) Mill.","UNDE_056",0.74,-89.543067568832,46.232180747411
"Populus tremuloides Michx.","UNDE_056",0.76,-89.5429406176168,46.2320604699016
"Populus grandidentata Michx.","UNDE_056",0.74,-89.5429704570507,46.231911566268
"Populus tremuloides Michx.","UNDE_056",0.76,-89.542926357112,46.2320189272938
"Populus tremuloides Michx.","UNDE_056",0.74,-89.5430187605318,46.2319478813176
"Acer rubrum L.","UNDE_056",0.76,-89.5430309948035,46.2320937860016
"Populus tremuloides Michx.","UNDE_056",0.74,-89.5429612281571,46.2318928855977
"Populus tremuloides Michx.","UNDE_056",0.73,-89.5431191471313,46.2320651475898
"Populus grandidentata Michx.","UNDE_056",0.76,-89.5430185868741,46.2319969646577
"Acer rubrum L.","UNDE_056",0.79,-89.5429727066091,46.2321871106536
"Betula alleghaniensis Britton","UNDE_056",0.79,-89.5429681547294,46.2321632688702
"Acer rubrum L.","UNDE_056",0.79,-89.5431035331425,46.2319278003545
"Acer rubrum L.","UNDE_056",0.74,-89.5430100153786,46.2319439201862
"Populus tremuloides Michx.","UNDE_056",0.73,-89.5431427308968,46.23202399941
"Acer saccharum Marshall","UNDE_056",0.73,-89.543131751147,46.2321167149264
"Populus tremuloides Michx.","UNDE_056",0.76,-89.5429725652019,46.2319897149859
"Acer rubrum L.","UNDE_056",0.73,-89.5431219334349,46.2320171975433
"Acer rubrum L.","UNDE_056",0.73,-89.5431237108083,46.2320407277106
"Populus tremuloides Michx.","UNDE_056",0.74,-89.5430062829998,46.2319207281013
"Populus tremuloides Michx.","UNDE_056",0.74,-89.5429487030853,46.2318847414287
"Populus tremuloides Michx.","UNDE_056",0.73,-89.543148968935,46.2320704532141
"Populus tremuloides Michx.","UNDE_056",0.79,-89.5429087200775,46.2322058234481
"Acer saccharum Marshall","UNDE_056",0.73,-89.5431224501925,46.2321448809561
