"species","plotID","uncertainty","x","y"
"Acer saccharum Marshall","UNDE_055",1.08,-89.536196592896,46.2295698665288
"Abies balsamea (L.) Mill.","UNDE_055",0.86,-89.5361898757761,46.2296300307953
"Betula papyrifera Marshall","UNDE_055",0.8,-89.5359696059984,46.2293645400412
"Abies balsamea (L.) Mill.","UNDE_055",0.81,-89.5357842663077,46.2294492244496
"Abies balsamea (L.) Mill.","UNDE_055",0.84,-89.5358293322226,46.2294031555505
"Acer saccharum Marshall","UNDE_055",0.94,-89.5361408505611,46.2296479739929
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360201345787,46.2295372010506
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360586539556,46.2295286602161
"Abies balsamea (L.) Mill.","UNDE_055",0.94,-89.5361028414163,46.2296969770171
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5359622060722,46.2294853740608
"Acer saccharum Marshall","UNDE_055",0.77,-89.5359080726669,46.2294642599054
"Abies balsamea (L.) Mill.","UNDE_055",0.94,-89.5360849935703,46.2296607061125
"Acer saccharum Marshall","UNDE_055",0.77,-89.5359278960186,46.2294492113229
"Picea glauca (Moench) Voss","UNDE_055",0.77,-89.5359605601958,46.2294603813653
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360311315759,46.2296096889407
"Populus tremuloides Michx.","UNDE_055",0.77,-89.5360838255139,46.2296007129306
"Populus tremuloides Michx.","UNDE_055",0.77,-89.5360465665662,46.2295660473927
"Picea glauca (Moench) Voss","UNDE_055",0.84,-89.5357861857914,46.2293871304074
"Acer saccharum Marshall","UNDE_055",1.08,-89.5362302569345,46.2295511780042
"Populus tremuloides Michx.","UNDE_055",0.77,-89.5360897728776,46.2296022026753
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360912184308,46.229545090119
"Populus tremuloides Michx.","UNDE_055",0.94,-89.5360681172236,46.2296616582232
"Acer rubrum L.","UNDE_055",0.84,-89.5357798527569,46.2293542439687
"Abies balsamea (L.) Mill.","UNDE_055",0.94,-89.5360822322315,46.2297126543151
"Populus tremuloides Michx.","UNDE_055",0.77,-89.5360465867954,46.229559472547
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360788154703,46.2295887992058
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5359134041191,46.2295088074364
"Betula papyrifera Marshall","UNDE_055",0.81,-89.5358452125779,46.2294621381149
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360466103293,46.2296193503151
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5359321698617,46.2294752998203
"Acer saccharum Marshall","UNDE_055",1.08,-89.5362682925636,46.2295715163641
"Acer saccharum Marshall","UNDE_055",0.94,-89.5360375870488,46.2297145563917
"Acer saccharum Marshall","UNDE_055",1.08,-89.5362778432169,46.229559760319
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360887378294,46.2295889801946
"Populus tremuloides Michx.","UNDE_055",0.8,-89.5360101521799,46.2294038781876
"Abies balsamea (L.) Mill.","UNDE_055",0.8,-89.5359853960023,46.2294444888854
"Populus tremuloides Michx.","UNDE_055",0.8,-89.5359488387417,46.2294081072334
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5359542453101,46.2294444618874
"Populus tremuloides Michx.","UNDE_055",0.84,-89.5358168748886,46.2293712146819
"Abies balsamea (L.) Mill.","UNDE_055",0.77,-89.5360760006239,46.2295350890499
"Acer saccharum Marshall","UNDE_055",1.08,-89.5361753474899,46.2295674817027
"Acer saccharum Marshall","UNDE_055",1.08,-89.5362903659306,46.2295490700244
