"species","plotID","uncertainty","x","y"
"Unknown plant","UNDE_018",0.75,-89.5348142872822,46.2429777794701
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.75,-89.5348079541758,46.2429836039866
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.75,-89.5347950450177,46.2429826349851
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.75,-89.5347533978647,46.2429940340284
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.75,-89.5347565984341,46.2430278608308
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.75,-89.5347589331011,46.2430304251094
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.75,-89.5347844130375,46.2430190008964
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.5347082196969,46.24302807654
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.53465652665,46.2430270630366
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.5346047107203,46.2430405574208
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.5345936375875,46.2430269663304
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.5346638919887,46.2429988734571
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.84,-89.5346415015162,46.2429661518281
"Unknown plant","UNDE_018",0.84,-89.5347194321476,46.2429532309422
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5346077795547,46.243052501018
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.534640119335,46.2430962006274
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5346843037778,46.243070600575
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.534688843763,46.24307787255
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.534711053733,46.2430929727059
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5347080394353,46.2431010573751
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5346820438133,46.243104113958
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5346848932139,46.2431224530068
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5346788336355,46.2431362460907
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5346368331118,46.2431233515434
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5346284445407,46.243131361135
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5347108199233,46.2431235620084
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5347360597345,46.2431148656358
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347397292762,46.2431337110842
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347449894753,46.243079261999
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347368825756,46.2430324424627
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5347245727522,46.2430569355697
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_018",0.72,-89.5347317470783,46.2430504894151
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347652861331,46.2430731671795
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5348029708148,46.2430538348481
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5348017523133,46.2430775078161
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347840719145,46.2431046165346
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5347830520974,46.243124486673
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.534833479326,46.2431315137376
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5348327806793,46.2431267990638
"Larix laricina (Du Roi) K. Koch","UNDE_018",0.72,-89.5348434055458,46.2430803573527
