"species","plotID","uncertainty","x","y"
"Acer rubrum L.","UNDE_010",0.88,-89.5419059676421,46.2377485290591
"Fraxinus nigra Marshall","UNDE_010",0.76,-89.5417859737589,46.2376974432817
"Acer rubrum L.","UNDE_010",0.76,-89.5417933204925,46.2377306842957
"Acer rubrum L.","UNDE_010",0.76,-89.5417933204925,46.2377306842957
"Acer rubrum L.","UNDE_010",0.76,-89.5418212968577,46.2377394864574
"Acer rubrum L.","UNDE_010",0.76,-89.541774195311,46.2377433710974
"Acer rubrum L.","UNDE_010",0.76,-89.5418802980419,46.237702514292
"Abies balsamea (L.) Mill.","UNDE_010",0.76,-89.5418842605525,46.2377430932633
"Acer rubrum L.","UNDE_010",0.76,-89.5418852571373,46.2377481682975
"Fraxinus nigra Marshall","UNDE_010",0.76,-89.5418857207199,46.2376796952552
"Populus tremuloides Michx.","UNDE_010",0.88,-89.5418499098527,46.23780270282
"Acer rubrum L.","UNDE_010",0.88,-89.5418416694694,46.2378133150015
"Abies balsamea (L.) Mill.","UNDE_010",0.88,-89.5418323990984,46.2378156951654
"Acer rubrum L.","UNDE_010",0.88,-89.5418173298251,46.2378064416979
"Acer rubrum L.","UNDE_010",0.88,-89.5418173298251,46.2378064416979
"Acer rubrum L.","UNDE_010",0.88,-89.5417655386569,46.2378008941278
"Betula papyrifera Marshall","UNDE_010",0.88,-89.5417787179281,46.2378115960714
"Acer rubrum L.","UNDE_010",0.88,-89.541809810151,46.2378253537078
"Populus grandidentata Michx.","UNDE_010",0.81,-89.5418389279868,46.2378487330964
"Populus grandidentata Michx.","UNDE_010",0.81,-89.54179609517,46.2378566991504
"Abies balsamea (L.) Mill.","UNDE_010",0.81,-89.5417851239443,46.2378337369727
"Picea glauca (Moench) Voss","UNDE_010",0.81,-89.5417397405695,46.2378241508595
"Picea glauca (Moench) Voss","UNDE_010",0.81,-89.5418366903055,46.2378503153135
"Acer rubrum L.","UNDE_010",0.88,-89.5417834010201,46.2378132786695
"Acer rubrum L.","UNDE_010",0.88,-89.541870425521,46.2378557062819
"Acer rubrum L.","UNDE_010",0.88,-89.5418733569085,46.2378545260309
"Abies balsamea (L.) Mill.","UNDE_010",0.71,-89.5419587552995,46.2377982413765
"Acer rubrum L.","UNDE_010",0.71,-89.5419567816644,46.2377959029418
"Acer rubrum L.","UNDE_010",0.71,-89.5419567816644,46.2377959029418
"Acer rubrum L.","UNDE_010",0.71,-89.5419764106777,46.2378599971972
"Acer rubrum L.","UNDE_010",0.71,-89.5419526870668,46.2378435755226
"Acer rubrum L.","UNDE_010",0.71,-89.5419005430083,46.23785297956
"Abies balsamea (L.) Mill.","UNDE_010",0.88,-89.5419010715301,46.2377785143356
"Unknown plant","UNDE_010",0.88,-89.5418956894797,46.2377906694115
"Unknown plant","UNDE_010",0.88,-89.5418928909864,46.2378064119123
"Acer rubrum L.","UNDE_010",0.88,-89.5418867603277,46.2378169423864
"Abies balsamea (L.) Mill.","UNDE_010",0.88,-89.5419787295648,46.2377527605658
"Acer rubrum L.","UNDE_010",0.88,-89.5419633093593,46.2377546895408
"Acer rubrum L.","UNDE_010",0.88,-89.5419336894026,46.2377560269501
"Acer rubrum L.","UNDE_010",0.88,-89.5418782194455,46.2377532643289
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_010",0.71,-89.5419389600894,46.2377551755037
