"species","plotID","uncertainty","x","y"
"Fraxinus nigra Marshall","UNDE_011",0.79,-89.504986730468,46.2151582373675
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.79,-89.504916145505,46.2151303097409
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.79,-89.5049747315738,46.2151688653723
"Thuja occidentalis L.","UNDE_011",0.85,-89.5050715164084,46.2150475057179
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.85,-89.5050839257929,46.2150668213609
"Acer rubrum L.","UNDE_011",0.85,-89.5051482524808,46.2150777749123
"Fraxinus nigra Marshall","UNDE_011",0.85,-89.5051149577279,46.2150533958344
"Abies balsamea (L.) Mill.","UNDE_011",0.85,-89.5051580204836,46.2150850309143
"Abies balsamea (L.) Mill.","UNDE_011",0.85,-89.5050622292929,46.2150736688704
"Unknown plant","UNDE_011",0.85,-89.5051072354812,46.2150659755825
"Acer rubrum L.","UNDE_011",0.87,-89.5050839555385,46.2150909983874
"Thuja occidentalis L.","UNDE_011",0.94,-89.5049616549589,46.2150457506728
"Fraxinus nigra Marshall","UNDE_011",0.85,-89.5049745226068,46.2150446187687
"Fraxinus nigra Marshall","UNDE_011",0.87,-89.505014061851,46.215025271256
"Fraxinus nigra Marshall","UNDE_011",0.87,-89.5050017825558,46.2150340240853
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.87,-89.5050076615325,46.2150833145069
"Abies balsamea (L.) Mill.","UNDE_011",0.87,-89.5050213858068,46.2150881273683
"Betula papyrifera Marshall","UNDE_011",0.79,-89.5051384528705,46.2151065723537
"Fraxinus nigra Marshall","UNDE_011",0.85,-89.5051671853146,46.2150572111701
"Fraxinus nigra Marshall","UNDE_011",0.79,-89.5051331277525,46.2151132401323
"Fraxinus nigra Marshall","UNDE_011",0.87,-89.5051080700451,46.2151123020607
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.87,-89.5051105028761,46.2151544399646
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.87,-89.505063401467,46.2151768776925
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_011",0.87,-89.5050552535429,46.2151390193374
"Abies balsamea (L.) Mill.","UNDE_011",0.87,-89.5050950097734,46.2151222846645
"Acer rubrum L.","UNDE_011",0.87,-89.5050976663707,46.2151224927926
"Betula alleghaniensis Britton","UNDE_011",0.79,-89.5051064716266,46.2151812936985
"Thuja occidentalis L.","UNDE_011",0.79,-89.5050894837726,46.2151682133346
"Thuja occidentalis L.","UNDE_011",0.79,-89.5051151994777,46.2151873242784
"Thuja occidentalis L.","UNDE_011",0.79,-89.5051187459087,46.2151649130921
"Abies balsamea (L.) Mill.","UNDE_011",0.79,-89.5051395113416,46.2151759003738
"Acer rubrum L.","UNDE_011",0.87,-89.5050137147592,46.2151572972242
"Abies balsamea (L.) Mill.","UNDE_011",0.87,-89.5050180595645,46.2151459197384
"Abies balsamea (L.) Mill.","UNDE_011",0.85,-89.5050778727629,46.2150369366205
