"species","plotID","uncertainty","x","y"
"Abies balsamea (L.) Mill.","UNDE_003",0.71,-89.5361567214026,46.2561833566453
"Abies balsamea (L.) Mill.","UNDE_003",0.71,-89.536162572637,46.2561644262475
"Betula alleghaniensis Britton","UNDE_003",0.71,-89.5361329678021,46.2561879047471
"Populus grandidentata Michx.","UNDE_003",0.76,-89.5360569909229,46.2563114191545
"Acer saccharum Marshall","UNDE_003",0.71,-89.5361783318493,46.2562354715904
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_003",0.76,-89.5361273446462,46.256236674194
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_003",0.76,-89.5360719024475,46.2562191096183
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5360595057073,46.2562093566626
"Acer spicatum Lam.","UNDE_003",0.83,-89.5361553043925,46.2563290062536
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5362224544108,46.2562991191788
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361913811529,46.256306935144
"Prunus virginiana L.","UNDE_003",0.84,-89.5359828109844,46.2561641850766
"Prunus virginiana L.","UNDE_003",0.84,-89.5359828109844,46.2561641850766
"Fraxinus nigra Marshall","UNDE_003",0.84,-89.5359864534409,46.2561706201228
"Fraxinus nigra Marshall","UNDE_003",0.84,-89.5359942628088,46.2561614384147
"Betula alleghaniensis Britton","UNDE_003",0.76,-89.5360616544977,46.2562654852331
"Fraxinus nigra Marshall","UNDE_003",0.84,-89.536031826092,46.2561556991081
"Betula alleghaniensis Britton","UNDE_003",0.84,-89.5360192529011,46.2561598400616
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5360351475497,46.2562786257126
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_003",0.83,-89.5359807670072,46.2563161741641
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_003",0.76,-89.5360868392207,46.2563108319424
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5362141080931,46.2562836945041
"Populus tremuloides Michx.","UNDE_003",0.83,-89.5362098271523,46.256283479231
"Populus tremuloides Michx.","UNDE_003",0.76,-89.5362105491164,46.2562495799976
"Fraxinus nigra Marshall","UNDE_003",0.83,-89.5359766017727,46.2563006276524
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361855656374,46.2562948953016
"Betula alleghaniensis Britton","UNDE_003",0.83,-89.5360080730158,46.256310073249
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361749664798,46.2562812844707
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361749664798,46.2562812844707
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_003",0.84,-89.5360005480284,46.2561686225998
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.536040316234,46.2562837422388
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","UNDE_003",0.76,-89.5361937317475,46.2562584830853
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361716883322,46.2562730115971
"Abies balsamea (L.) Mill.","UNDE_003",0.76,-89.5361183383157,46.2562953305502
"Acer spicatum Lam.","UNDE_003",0.76,-89.5360052481871,46.2562602840125
"Abies balsamea (L.) Mill.","UNDE_003",0.76,-89.536134402469,46.2562283960709
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5360625157757,46.2563079578406
"Acer saccharum Marshall","UNDE_003",0.76,-89.5361979601087,46.2562275869905
"Abies balsamea (L.) Mill.","UNDE_003",0.76,-89.53616281912,46.2562109266545
"Fraxinus nigra Marshall","UNDE_003",0.71,-89.5360773255112,46.2561998539646
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5360059152792,46.2562359081855
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5360344390988,46.2562379836553
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5359710710957,46.2562330952221
"Fraxinus nigra Marshall","UNDE_003",0.76,-89.5359647374034,46.2562389895114
"Acer spicatum Lam.","UNDE_003",0.76,-89.5359734964715,46.2562035455868
"Abies balsamea (L.) Mill.","UNDE_003",0.83,-89.5361996487428,46.2562949219406
"Fraxinus nigra Marshall","UNDE_003",0.83,-89.5359700531685,46.2562885536951
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_003",0.76,-89.5360598719122,46.2563168039769
