"species","plotID","uncertainty","x","y"
"Populus tremuloides Michx.","UNDE_034",0.76,-89.5210502817229,46.2485426727525
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210286757826,46.248445209439
"Populus tremuloides Michx.","UNDE_034",0.76,-89.5210643534275,46.2485451802298
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5209569378013,46.2484786672054
"Abies balsamea (L.) Mill.","UNDE_034",0.87,-89.5209955911676,46.2485148975545
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210096485145,46.2485150254771
"Abies balsamea (L.) Mill.","UNDE_034",0.87,-89.5209886784504,46.2484664358645
"Corylus cornuta Marshall","UNDE_034",0.87,-89.5210252860518,46.2484667003124
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210396734079,46.2485024986912
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210001990687,46.2484640365649
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210213757575,46.2484678822471
"Corylus cornuta Marshall","UNDE_034",0.87,-89.5210285590131,46.2484650965737
"Populus tremuloides Michx.","UNDE_034",0.87,-89.5210280755083,46.2484759586349
"Amelanchier sp.","UNDE_034",0.87,-89.521007590516,46.2485020560361
"Corylus cornuta Marshall","UNDE_034",0.83,-89.5209285285984,46.2484973918769
"Corylus cornuta Marshall","UNDE_034",0.83,-89.5209432915074,46.2485124287004
"Prunus serotina Ehrh.","UNDE_034",0.83,-89.5209253012161,46.2485096257146
"Abies balsamea (L.) Mill.","UNDE_034",0.83,-89.5208975358028,46.2484964743374
"Populus tremuloides Michx.","UNDE_034",0.74,-89.5208530566781,46.2485731792464
"Populus tremuloides Michx.","UNDE_034",0.74,-89.5208479257634,46.2485654326577
"Picea glauca (Moench) Voss","UNDE_034",0.74,-89.5208400731471,46.2485703929173
"Acer rubrum L.","UNDE_034",0.74,-89.5208643959275,46.2485752753443
"Picea glauca (Moench) Voss","UNDE_034",0.74,-89.5208318043611,46.248584075409
"Populus tremuloides Michx.","UNDE_034",0.76,-89.5210422037439,46.24858890226
"Populus tremuloides Michx.","UNDE_034",0.75,-89.5209181163542,46.2484284933715
"Populus tremuloides Michx.","UNDE_034",0.75,-89.5208753856698,46.2484359428623
"Populus tremuloides Michx.","UNDE_034",0.75,-89.5208508666912,46.2484329865151
"Abies balsamea (L.) Mill.","UNDE_034",0.75,-89.520843669117,46.2484385639385
"Abies balsamea (L.) Mill.","UNDE_034",0.75,-89.5207996968995,46.2484365656843
"Populus tremuloides Michx.","UNDE_034",0.83,-89.5208216976237,46.2484980930947
"Populus sp.","UNDE_034",0.74,-89.5209214696961,46.2485789615108
"Amelanchier sp.","UNDE_034",0.74,-89.5208980375146,46.2485614377601
"Acer rubrum L.","UNDE_034",0.74,-89.520923328243,46.2485896886531
"Picea glauca (Moench) Voss","UNDE_034",0.83,-89.520894792004,46.2485835218352
