"species","plotID","uncertainty","x","y"
"Abies balsamea (L.) Mill.","UNDE_060",0.85,-89.5354595945291,46.2312826389377
"Acer rubrum L.","UNDE_060",0.85,-89.5355767281013,46.2312883447553
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5357200426079,46.2313737441736
"Thuja occidentalis L.","UNDE_060",0.82,-89.5355800336059,46.2313872046398
"Populus tremuloides Michx.","UNDE_060",0.85,-89.5354637142447,46.2312986366577
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.71,-89.5359689702674,46.2312748225595
"Picea glauca (Moench) Voss","UNDE_060",0.85,-89.5354788976449,46.2313074602422
"Populus tremuloides Michx.","UNDE_060",0.85,-89.5354859770492,46.2312820718853
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.82,-89.5355642342703,46.2314118363167
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.71,-89.5358907199434,46.2313137633671
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.73,-89.5358233185106,46.2312871402257
"Acer rubrum L.","UNDE_060",0.85,-89.5355420600211,46.2313028944427
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5357303383005,46.2313632566684
"Acer rubrum L.","UNDE_060",0.76,-89.5359351366692,46.2313831676311
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5356629687836,46.2313650994196
"Abies balsamea (L.) Mill.","UNDE_060",0.73,-89.5356359169983,46.2312525519048
"Abies balsamea (L.) Mill.","UNDE_060",0.82,-89.5355179669634,46.2313526518155
"Picea glauca (Moench) Voss","UNDE_060",0.82,-89.535562064446,46.2313309560138
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5356969386774,46.2313955376547
"Larix laricina (Du Roi) K. Koch","UNDE_060",0.81,-89.5357716985845,46.2313775815913
"Abies balsamea (L.) Mill.","UNDE_060",0.73,-89.5356399331241,46.2313427036955
"Thuja occidentalis L.","UNDE_060",0.82,-89.5355721807892,46.2313719654177
"Abies balsamea (L.) Mill.","UNDE_060",0.73,-89.5356224472418,46.2312576765922
"Larix laricina (Du Roi) K. Koch","UNDE_060",0.82,-89.5356070571907,46.2313513897495
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.76,-89.5359530557313,46.2313746691493
"Abies balsamea (L.) Mill.","UNDE_060",0.85,-89.5355236123733,46.2312988255121
"Thuja occidentalis L.","UNDE_060",0.82,-89.5355762640292,46.2313395883155
"Larix laricina (Du Roi) K. Koch","UNDE_060",0.82,-89.5355688528646,46.2314078163394
"Populus tremuloides Michx.","UNDE_060",0.85,-89.5354663664985,46.2312689431661
"Populus tremuloides Michx.","UNDE_060",0.85,-89.5355730500646,46.231278689515
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.71,-89.5359534157482,46.231320660342
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5357242156176,46.2314095195405
"Picea glauca (Moench) Voss","UNDE_060",0.82,-89.5354803029882,46.231398846189
"Picea glauca (Moench) Voss","UNDE_060",0.85,-89.5355592106274,46.2312603540521
"Populus tremuloides Michx.","UNDE_060",0.82,-89.5355090528918,46.2313575131075
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5358708623076,46.2313851616454
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.71,-89.5358979344043,46.2313140086076
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.535849660151,46.2314000489341
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.73,-89.5357064838034,46.231333307416
"Thuja occidentalis L.","UNDE_060",0.81,-89.5357294069503,46.2313895622433
"Acer rubrum L.","UNDE_060",0.73,-89.5357246272046,46.2312730863739
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5358099946111,46.2313138262751
"Prunus serotina Ehrh.","UNDE_060",0.85,-89.5354855112504,46.2312672877312
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5356921542055,46.2313862154045
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_060",0.81,-89.5357741015853,46.231326601873
"Acer rubrum L.","UNDE_060",0.73,-89.5358062973189,46.2312749675103
"Thuja occidentalis L.","UNDE_060",0.81,-89.5356826938773,46.2314116940769
"Acer rubrum L.","UNDE_060",0.82,-89.5354669658877,46.2314164000426
"Acer rubrum L.","UNDE_060",0.73,-89.5357738503539,46.2312737430175
"Acer rubrum L.","UNDE_060",0.73,-89.5356553147726,46.2313207101411
