"species","plotID","uncertainty","x","y"
"Populus grandidentata Michx.","UNDE_045",0.89,-89.539605774705,46.2332615088101
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396782913445,46.2332821918242
"Acer rubrum L.","UNDE_045",0.89,-89.5399423213662,46.2333057556428
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396811850006,46.2333828172208
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395108737431,46.2332525885621
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5394806962681,46.2333844382055
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395357333799,46.2333004602586
"Populus tremuloides Michx.","UNDE_045",0.82,-89.5397034175498,46.2333456222605
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5395642742518,46.2333393778511
"Acer rubrum L.","UNDE_045",0.82,-89.5395018762432,46.2333800078178
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396605530308,46.2332470957052
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396605202434,46.2333980173489
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395357333799,46.2333004602586
"Acer rubrum L.","UNDE_045",0.89,-89.5397938084101,46.2333293315726
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396432405281,46.2332400523242
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395337762791,46.233233707236
"Populus tremuloides Michx.","UNDE_045",0.82,-89.5395592093144,46.2333483824807
"Acer rubrum L.","UNDE_045",0.73,-89.5399232837713,46.2333608826617
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396541661714,46.2332765688587
"Acer rubrum L.","UNDE_045",0.89,-89.5396284552816,46.2333098795638
"Acer saccharum Marshall","UNDE_045",0.82,-89.5395251442842,46.2333524189576
"Fraxinus nigra Marshall","UNDE_045",0.82,-89.539800029171,46.2333610246746
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5394508834014,46.233238400745
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5395705620929,46.2333402334611
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396031829095,46.2333266410294
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395633312459,46.233283566447
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5395053921027,46.2333218412275
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396037447329,46.2333099206563
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5394512557048,46.2332394733438
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5395290701978,46.2332785408137
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5396803639704,46.233300594846
"Acer rubrum L.","UNDE_045",0.82,-89.5395899280087,46.2333675615637
"Populus tremuloides Michx.","UNDE_045",0.89,-89.5397524619085,46.2332713297283
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396642271593,46.2333450141699
"Acer rubrum L.","UNDE_045",0.87,-89.5395546723703,46.2332829701297
"Populus tremuloides Michx.","UNDE_045",0.89,-89.5398653148857,46.2332822294239
"Populus grandidentata Michx.","UNDE_045",0.89,-89.5397189858778,46.2332471958254
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396013564413,46.2333899675278
"Populus grandidentata Michx.","UNDE_045",0.87,-89.5394378519335,46.2333142933687
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5395738353288,46.2333290280515
"Populus grandidentata Michx.","UNDE_045",0.82,-89.5396810128552,46.2333662919616
