"species","plotID","uncertainty","x","y"
"Populus tremuloides Michx.","UNDE_050",0.83,-89.5382634090338,46.2294076569401
"Acer rubrum L.","UNDE_050",0.83,-89.5382019967922,46.2293438127113
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381495168342,46.2294478880831
"Fraxinus nigra Marshall","UNDE_050",0.79,-89.5382053331989,46.229406857774
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5380906357366,46.2296290828479
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382274209847,46.2294279564634
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5380140386438,46.229656092291
"Populus tremuloides Michx.","UNDE_050",0.88,-89.538088016757,46.2296123563594
"Acer rubrum L.","UNDE_050",0.79,-89.5379610547245,46.2295092638835
"Acer saccharum Marshall","UNDE_050",0.79,-89.5380366880383,46.2295708749252
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5379928656561,46.2294748190957
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380099473796,46.2295404037058
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380271559466,46.2294152851618
"Populus tremuloides Michx.","UNDE_050",0.89,-89.5382047596109,46.2296734403995
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5380194568974,46.2296261760257
"Populus tremuloides Michx.","UNDE_050",0.83,-89.5381333529437,46.2294230417061
"Populus tremuloides Michx.","UNDE_050",0.83,-89.5382671600052,46.2294204962316
"Populus tremuloides Michx.","UNDE_050",0.89,-89.5381172988531,46.2296472308007
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380478214244,46.2295595787711
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382446173149,46.2295361998591
"Populus tremuloides Michx.","UNDE_050",0.88,-89.538019490871,46.229657067879
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380401700532,46.22941455005
"Populus tremuloides Michx.","UNDE_050",0.74,-89.538042290631,46.2293383349054
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382114519141,46.2294942779002
"Populus tremuloides Michx.","UNDE_050",0.74,-89.5380609075523,46.2293515546341
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380645438763,46.2294739775895
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382551977279,46.229548639788
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380990059253,46.2295583687634
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382297342086,46.2295063221496
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380777826307,46.229574487184
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381396724818,46.229530876396
"Abies balsamea (L.) Mill.","UNDE_050",0.89,-89.5382098674072,46.2296778724886
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380198263986,46.2294613795814
"Acer rubrum L.","UNDE_050",0.79,-89.5382213634555,46.2294978389143
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5379946752678,46.2295215098205
"Acer saccharum Marshall","UNDE_050",0.79,-89.5380869007007,46.2294513836586
"Populus tremuloides Michx.","UNDE_050",0.79,-89.538256706644,46.2294920601251
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381666361339,46.2295620099538
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5380300444525,46.229611400141
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380074117828,46.2294161191915
"Populus tremuloides Michx.","UNDE_050",0.74,-89.5380167324713,46.2293830808712
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380861845906,46.2294492372661
"Abies balsamea (L.) Mill.","UNDE_050",0.89,-89.5382317635555,46.2296605681968
"Abies balsamea (L.) Mill.","UNDE_050",0.74,-89.5381050853954,46.2293636177082
"Picea glauca (Moench) Voss","UNDE_050",0.88,-89.5381102144838,46.2296509686732
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5380249547441,46.2296478045212
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380415522498,46.2295156480081
"Populus tremuloides Michx.","UNDE_050",0.83,-89.5382704795891,46.229371065418
"Fraxinus nigra Marshall","UNDE_050",0.74,-89.5380602772123,46.2293327692851
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382101487431,46.2294505981244
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382067331931,46.2295237372577
"Populus tremuloides Michx.","UNDE_050",0.74,-89.5380561947668,46.2294053021883
"Populus tremuloides Michx.","UNDE_050",0.74,-89.5380627598355,46.2293676276232
"Populus tremuloides Michx.","UNDE_050",0.89,-89.5382394804544,46.2296908523498
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381174583257,46.2294812811491
"Populus tremuloides Michx.","UNDE_050",0.74,-89.5381160808673,46.2293561508065
"Fraxinus pennsylvanica Marshall","UNDE_050",0.89,-89.5382136243832,46.2296469187638
"Populus tremuloides Michx.","UNDE_050",0.89,-89.5381832182379,46.2296422629846
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381856159565,46.2295484484891
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380327396614,46.2295661794136
"Fraxinus americana L.","UNDE_050",0.79,-89.5382246722214,46.2295476567563
"Abies balsamea (L.) Mill.","UNDE_050",0.74,-89.5381248987928,46.2293275236543
"Fraxinus nigra Marshall","UNDE_050",0.79,-89.5382034433544,46.2295873060375
"Fraxinus pennsylvanica Marshall","UNDE_050",0.79,-89.5381710099163,46.2295857981286
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381449312313,46.2295634859421
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381822422406,46.2295298262885
"Populus tremuloides Michx.","UNDE_050",0.88,-89.5381040560503,46.2296043440344
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381610179925,46.2295820789824
"Fraxinus pennsylvanica Marshall","UNDE_050",0.83,-89.5382154496539,46.2293479196606
"Acer rubrum L.","UNDE_050",0.79,-89.5381067857721,46.2294920018993
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5380543528418,46.2294160402101
"Populus tremuloides Michx.","UNDE_050",0.89,-89.538191581009,46.2296676880152
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5382039715486,46.229414205642
"Populus tremuloides Michx.","UNDE_050",0.79,-89.538002751753,46.2295101455726
"Picea glauca (Moench) Voss","UNDE_050",0.88,-89.5380756115029,46.2296616081595
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381451540209,46.229532479479
"Populus tremuloides Michx.","UNDE_050",0.79,-89.5381727332227,46.2294242459033
"Fraxinus nigra Marshall","UNDE_050",0.83,-89.538189044119,46.2294136181957
"Fraxinus americana/pennsylvanica","UNDE_050",0.79,-89.5381621311859,46.2294898317486
"Fraxinus americana/pennsylvanica","UNDE_050",0.89,-89.5382367723568,46.2295859382353
"Acer saccharum Marshall","UNDE_050",0.89,-89.5381749775378,46.2295277295205
