"species","plotID","uncertainty","x","y"
"Fraxinus nigra Marshall","UNDE_014",0.77,-89.5132350082007,46.2259343737728
"Acer saccharum Marshall","UNDE_014",0.81,-89.5133656566019,46.225998883126
"Acer saccharum Marshall","UNDE_014",0.75,-89.5133976776687,46.2259453554612
"Acer saccharum Marshall","UNDE_014",0.75,-89.5134111556463,46.2259481373284
"Dirca palustris L.","UNDE_014",0.75,-89.5133942020967,46.2259225963723
"Acer saccharum Marshall","UNDE_014",0.75,-89.5134158528447,46.2259003036449
"Acer saccharum Marshall","UNDE_014",0.78,-89.5133077751625,46.2260363235284
"Acer saccharum Marshall","UNDE_014",0.78,-89.513235860453,46.2260433015189
"Acer saccharum Marshall","UNDE_014",0.79,-89.5132050119588,46.2259030986256
"Acer saccharum Marshall","UNDE_014",0.79,-89.513354788964,46.2258782180365
"Acer saccharum Marshall","UNDE_014",0.79,-89.5132898504822,46.2259244870023
"Acer saccharum Marshall","UNDE_014",0.79,-89.5132551004216,46.2258759197245
