"species","plotID","uncertainty","x","y"
"Populus grandidentata Michx.","UNDE_052",0.89,-89.5425456009062,46.2330267804615
"Populus grandidentata Michx.","UNDE_052",0.77,-89.5425627527252,46.2330635718776
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5424359109088,46.2333147691421
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5424939922606,46.2333174468855
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5424803351455,46.2332753476615
"Abies balsamea (L.) Mill.","UNDE_052",0.77,-89.5424461809865,46.2330978930568
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425475476649,46.2331784231704
"Acer rubrum L.","UNDE_052",0.8,-89.5425898765857,46.2332066990893
"Acer saccharum Marshall","UNDE_052",0.87,-89.5426295981481,46.2332510370315
"Acer rubrum L.","UNDE_052",0.77,-89.5424635191284,46.233094329649
"Betula papyrifera Marshall","UNDE_052",0.77,-89.5425208949819,46.2330942961644
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425952190819,46.2331661085768
"Acer rubrum L.","UNDE_052",0.87,-89.5426488050255,46.2333309215156
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425319533743,46.2333156810389
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5426404694105,46.2331832107992
"Acer rubrum L.","UNDE_052",0.8,-89.5425473107396,46.2332303160801
"Populus grandidentata Michx.","UNDE_052",0.74,-89.5426548482061,46.2330784667344
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425004426346,46.233318678508
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425915723857,46.2331830381221
"Populus grandidentata Michx.","UNDE_052",0.87,-89.5425574996311,46.2332809989165
"Acer rubrum L.","UNDE_052",0.8,-89.5425264818997,46.2333220935203
"Populus tremuloides Michx.","UNDE_052",0.77,-89.5424631424529,46.2331756119135
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425766719091,46.2331497509117
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425766484685,46.2331579792633
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5424504848798,46.23301404837
"Populus grandidentata Michx.","UNDE_052",0.89,-89.5424858317472,46.2330518337549
"Populus grandidentata Michx.","UNDE_052",0.89,-89.5425222180007,46.2329898162373
"Acer rubrum L.","UNDE_052",0.87,-89.5426460172459,46.2332837599981
"Populus tremuloides Michx.","UNDE_052",0.87,-89.5426138690501,46.2333015695943
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5425041983222,46.232996486996
"Acer rubrum L.","UNDE_052",0.87,-89.5426630437693,46.2333104660021
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5425193043668,46.2330136368515
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5424395543691,46.2329712841391
"Populus grandidentata Michx.","UNDE_052",0.74,-89.5426278400042,46.2330496191643
"Populus tremuloides Michx.","UNDE_052",0.77,-89.5425455746939,46.2331683994029
"Picea glauca (Moench) Voss","UNDE_052",0.77,-89.5424440984899,46.2331828300442
"Populus tremuloides Michx.","UNDE_052",0.74,-89.5425939763985,46.2330207009572
"Populus grandidentata Michx.","UNDE_052",0.89,-89.5424630773378,46.2329710032487
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5426055950557,46.2331364095033
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425924702137,46.2331006616043
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5426321310702,46.2331957633472
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5424573626777,46.232973729402
"Populus grandidentata Michx.","UNDE_052",0.87,-89.5426219578503,46.2333277602666
"Populus tremuloides Michx.","UNDE_052",0.77,-89.5425276867867,46.2332294342281
"Populus grandidentata Michx.","UNDE_052",0.74,-89.5426829907154,46.233047370503
"Populus tremuloides Michx.","UNDE_052",0.8,-89.5425612329389,46.2331406987785
"Populus tremuloides Michx.","UNDE_052",0.77,-89.5425470841836,46.2331553640532
"Populus tremuloides Michx.","UNDE_052",0.89,-89.5425357738159,46.2329811013165
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425794251296,46.2331819303895
"Populus grandidentata Michx.","UNDE_052",0.77,-89.5425771895722,46.233093201657
"Populus grandidentata Michx.","UNDE_052",0.74,-89.5426085283282,46.2329986502397
"Populus tremuloides Michx.","UNDE_052",0.87,-89.5426613596945,46.2332458928332
"Abies balsamea (L.) Mill.","UNDE_052",0.8,-89.5425671541123,46.2331644338501
"Abies balsamea (L.) Mill.","UNDE_052",0.8,-89.5426544582759,46.2331199836243
"Populus grandidentata Michx.","UNDE_052",0.87,-89.5425857128786,46.2333360174523
"Populus grandidentata Michx.","UNDE_052",0.89,-89.5424490309399,46.2330700565275
"Acer rubrum L.","UNDE_052",0.77,-89.5424738442754,46.2332188951119
"Acer rubrum L.","UNDE_052",0.77,-89.5424738442754,46.2332188951119
"Acer rubrum L.","UNDE_052",0.77,-89.5424738442754,46.2332188951119
"Populus tremuloides Michx.","UNDE_052",0.87,-89.5426721002016,46.2332913664447
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425180523708,46.2333047122803
"Populus grandidentata Michx.","UNDE_052",0.77,-89.5425007880011,46.2331108081913
"Picea glauca (Moench) Voss","UNDE_052",0.8,-89.5426163434824,46.233103619883
"Acer rubrum L.","UNDE_052",0.89,-89.5425784809832,46.2330137010482
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5425326284669,46.2332148692009
"Populus grandidentata Michx.","UNDE_052",0.8,-89.5426116675429,46.2331911888742
