"species","plotID","uncertainty","x","y"
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.79,-89.5344264889194,46.2321430850618
"Abies balsamea (L.) Mill.","UNDE_038",0.79,-89.5344220119685,46.2321178640916
"Acer rubrum L.","UNDE_038",0.86,-89.5343835266329,46.2323086007676
"Acer rubrum L.","UNDE_038",0.87,-89.5343967614991,46.2324207612529
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.8,-89.5345554344794,46.2321322945984
"Acer rubrum L.","UNDE_038",0.87,-89.5343789718239,46.2323642736858
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.5343339179024,46.2322844194941
"Abies balsamea (L.) Mill.","UNDE_038",0.79,-89.5344565181895,46.2323735423706
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.5343816679345,46.2322693366547
"Abies balsamea (L.) Mill.","UNDE_038",0.87,-89.5344081745376,46.2323779638899
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.85,-89.534510185108,46.2322555388431
"Populus tremuloides Michx.","UNDE_038",0.86,-89.5343379984495,46.2322768319448
"Betula papyrifera Marshall","UNDE_038",0.86,-89.5343416187672,46.2322466400533
"Acer rubrum L.","UNDE_038",0.87,-89.5343320576775,46.2323931822742
"Abies balsamea (L.) Mill.","UNDE_038",0.85,-89.5345335318444,46.2323145762982
"Abies balsamea (L.) Mill.","UNDE_038",0.85,-89.5344657568639,46.2323308786567
"Populus tremuloides Michx.","UNDE_038",0.86,-89.5343668796404,46.2323240311615
"Abies balsamea (L.) Mill.","UNDE_038",0.79,-89.5345474359808,46.232386455424
"Acer saccharum Marshall","UNDE_038",0.87,-89.5343792364712,46.2324045470954
"Abies balsamea (L.) Mill.","UNDE_038",0.85,-89.534503427837,46.2322543566215
"Betula papyrifera Marshall","UNDE_038",0.85,-89.5344921457485,46.2322864645948
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.5343827044554,46.2323122133914
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.534339146117,46.2323113058679
"Populus tremuloides Michx.","UNDE_038",0.86,-89.5344048425553,46.2322841128882
"Acer rubrum L.","UNDE_038",0.85,-89.5344966679785,46.2323250207817
"Betula papyrifera Marshall","UNDE_038",0.85,-89.5345209015179,46.2322672083489
"Acer rubrum L.","UNDE_038",0.87,-89.5343630382095,46.2323733634509
"Betula papyrifera Marshall","UNDE_038",0.87,-89.5343365415064,46.2323800003778
"Abies balsamea (L.) Mill.","UNDE_038",0.86,-89.5344207020035,46.2322408357693
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.53443358239,46.2322823460605
"Abies balsamea (L.) Mill.","UNDE_038",0.85,-89.5345232068788,46.2323212213528
"Acer rubrum L.","UNDE_038",0.79,-89.534530640843,46.232396692156
"Betula papyrifera Marshall","UNDE_038",0.85,-89.534512097549,46.2322853927299
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_038",0.86,-89.5344366292611,46.2321720010549
