"species","plotID","uncertainty","x","y"
"Acer rubrum L.","UNDE_057",0.81,-89.5407857151437,46.2342092278169
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.73,-89.5410825453065,46.2342606380279
"Acer rubrum L.","UNDE_057",0.75,-89.5408968713288,46.2341702393587
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.8,-89.5407440127527,46.2341294163567
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5408028965374,46.2341463067854
"Acer rubrum L.","UNDE_057",0.81,-89.5408167505239,46.2342272130348
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.92,-89.5411645633333,46.234127333448
"Betula papyrifera Marshall","UNDE_057",0.85,-89.5406574844452,46.2342561567024
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.81,-89.5408018313914,46.2342274019113
"Acer rubrum L.","UNDE_057",0.8,-89.5407180484628,46.23414941275
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5407867814613,46.2341599648471
"Acer rubrum L.","UNDE_057",0.81,-89.540874477541,46.2342807203205
"Acer rubrum L.","UNDE_057",0.8,-89.5407008321425,46.2341875579387
"Acer rubrum L.","UNDE_057",0.8,-89.5406880052463,46.2341958472314
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5408166221113,46.2341920588165
"Acer rubrum L.","UNDE_057",0.73,-89.5410543441851,46.234287277391
"Acer rubrum L.","UNDE_057",0.81,-89.5408062142494,46.2342738244941
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.81,-89.5408706443593,46.2342948354346
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.8,-89.5407172264769,46.2341395445043
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.540994425078,46.2341445900803
"Acer rubrum L.","UNDE_057",0.92,-89.5411425585927,46.2341321608835
"Acer rubrum L.","UNDE_057",0.81,-89.5409205363693,46.2342885400926
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.540831332405,46.2341276580855
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5410061137499,46.2341072540432
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5409422918699,46.2341407900229
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.8,-89.5407698931053,46.2341468057776
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5409037438462,46.2341271717854
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.73,-89.5411702008878,46.2342596076169
"Acer rubrum L.","UNDE_057",0.73,-89.5411618446337,46.2342637561368
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.81,-89.5410373531197,46.234270568578
"Acer rubrum L.","UNDE_057",0.81,-89.5410061936988,46.2342364702145
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.81,-89.5408068845285,46.2342820474067
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.85,-89.5407143807298,46.2342239482311
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5408820488935,46.2341361645954
"Larix laricina (Du Roi) K. Koch","UNDE_057",0.75,-89.5409121562367,46.2341228101053
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_057",0.8,-89.5407291441343,46.2341822098994
