"species","plotID","uncertainty","x","y"
"Populus tremuloides Michx.","UNDE_078",0.75,-89.5316550079753,46.2340935811627
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317845417,46.2343134382871
"Acer rubrum L.","UNDE_078",0.8,-89.5317359849487,46.2343286099221
"Acer rubrum L.","UNDE_078",0.8,-89.5317327422907,46.2343286373822
"Abies balsamea (L.) Mill.","UNDE_078",0.8,-89.5317728845205,46.2343642112696
"Populus tremuloides Michx.","UNDE_078",0.74,-89.5317210354684,46.2341054881099
"Acer saccharum Marshall","UNDE_078",0.74,-89.5316958250469,46.2341101307718
"Abies balsamea (L.) Mill.","UNDE_078",0.73,-89.531707000597,46.2342858145783
"Abies balsamea (L.) Mill.","UNDE_078",0.8,-89.5317667714913,46.2343337238102
"Abies balsamea (L.) Mill.","UNDE_078",0.8,-89.5317382732267,46.2343222162457
"Acer rubrum L.","UNDE_078",0.72,-89.5318132935179,46.2342252610144
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5318021798541,46.2342258765669
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5318203452893,46.2342670291065
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.531816823183,46.2342747475494
"Acer rubrum L.","UNDE_078",0.72,-89.5318447253262,46.2342768696004
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_078",0.72,-89.5317825717231,46.2343322127235
"Fraxinus nigra Marshall","UNDE_078",0.72,-89.5317719519498,46.2343233573748
"Populus tremuloides Michx.","UNDE_078",0.71,-89.5317582603904,46.2342893990802
"Abies balsamea (L.) Mill.","UNDE_078",0.71,-89.5317438788544,46.2342879746948
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317190357727,46.2342906869535
"Betula alleghaniensis Britton","UNDE_078",0.72,-89.5317458714078,46.2342695626269
"Acer rubrum L.","UNDE_078",0.72,-89.5317662056409,46.2342493683511
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317406469247,46.2342375519533
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317407088339,46.2342376783039
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317013598845,46.2342610338175
"Acer rubrum L.","UNDE_078",0.72,-89.5316788035746,46.2342613123692
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317116350067,46.2342480242997
"Acer rubrum L.","UNDE_078",0.71,-89.5316349136173,46.2342800169829
"Acer rubrum L.","UNDE_078",0.71,-89.5316297842987,46.2342822754588
"Acer rubrum L.","UNDE_078",0.73,-89.5316367868618,46.2342913962528
"Fraxinus nigra Marshall","UNDE_078",0.72,-89.5316706002163,46.2343164694691
"Fraxinus nigra Marshall","UNDE_078",0.72,-89.5316741495041,46.2343232847209
"Fraxinus nigra Marshall","UNDE_078",0.71,-89.5316855347931,46.2343229065761
"Abies balsamea (L.) Mill.","UNDE_078",0.71,-89.5316838558651,46.2343286626168
"Fraxinus nigra Marshall","UNDE_078",0.71,-89.5316287417404,46.234332513612
"Fraxinus nigra Marshall","UNDE_078",0.71,-89.5316647038561,46.2343509995458
"Fraxinus nigra Marshall","UNDE_078",0.73,-89.5316619270367,46.2343703626258
"Acer rubrum L.","UNDE_078",0.72,-89.531753281962,46.2343380705606
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5318029323697,46.2343740992047
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.531832077407,46.2341995175761
"Acer rubrum L.","UNDE_078",0.72,-89.5318163160261,46.2341863235279
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.531829434917,46.234177734452
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5318227216538,46.2341482514809
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317815252375,46.2341630884263
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5317652678346,46.2341684008495
"Acer rubrum L.","UNDE_078",0.71,-89.5317285317463,46.2341781764777
"Picea sp.","UNDE_078",0.71,-89.531680629572,46.2341946621754
"Picea sp.","UNDE_078",0.71,-89.531662875913,46.2341656099301
"Populus tremuloides Michx.","UNDE_078",0.71,-89.5316406565797,46.2341547245327
"Abies balsamea (L.) Mill.","UNDE_078",0.71,-89.5316883639021,46.2341580474639
"Abies balsamea (L.) Mill.","UNDE_078",0.71,-89.5316975171851,46.2341615728955
"Populus tremuloides Michx.","UNDE_078",0.74,-89.531718213866,46.2340964451195
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_078",0.74,-89.5315834828378,46.2340511406148
"Picea mariana (Mill.) Britton, Sterns & Poggenb.","UNDE_078",0.74,-89.5316889107865,46.2340413299706
"Acer saccharum Marshall","UNDE_078",0.74,-89.5317617160235,46.2340575282074
"Populus tremuloides Michx.","UNDE_078",0.74,-89.5317673551942,46.2341205437074
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.5318043366136,46.2341134716436
"Abies balsamea (L.) Mill.","UNDE_078",0.72,-89.531823553705,46.234128846147
"Acer rubrum L.","UNDE_078",0.72,-89.5318279805934,46.2341011749859
"Populus tremuloides Michx.","UNDE_078",0.72,-89.5318291552746,46.2342236288335
