"species","plotID","uncertainty","x","y"
"Acer rubrum L.","UNDE_008",0.8,-89.5149620912835,46.2562559843207
"Populus tremuloides Michx.","UNDE_008",0.8,-89.5149557753117,46.2562591681829
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5151555977278,46.2562408940175
"Populus tremuloides Michx.","UNDE_008",0.81,-89.5151125000329,46.2561981397615
"Abies balsamea (L.) Mill.","UNDE_008",0.87,-89.5151906088398,46.2561371394011
"Acer rubrum L.","UNDE_008",0.87,-89.5151905160888,46.256097058547
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150224697279,46.2562487265922
"Abies balsamea (L.) Mill.","UNDE_008",0.87,-89.5151816236887,46.2561463529836
"Acer rubrum L.","UNDE_008",0.87,-89.5151302496605,46.2560909688597
"Populus tremuloides Michx.","UNDE_008",0.87,-89.5151110816902,46.2561257580769
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150425185732,46.2561612900227
"Abies balsamea (L.) Mill.","UNDE_008",0.87,-89.5151920275543,46.2561236816622
"Populus tremuloides Michx.","UNDE_008",0.87,-89.5151676762035,46.2561673210494
"Acer rubrum L.","UNDE_008",0.87,-89.5151676370159,46.25609489059
"Unknown plant","UNDE_008",0.81,-89.5149679233201,46.2562082104406
"Populus tremuloides Michx.","UNDE_008",0.87,-89.5151883372285,46.2561685903212
"Acer rubrum L.","UNDE_008",0.87,-89.515174733464,46.2561303911191
"Acer rubrum L.","UNDE_008",0.81,-89.5150604530298,46.256175041839
"Picea glauca (Moench) Voss","UNDE_008",0.81,-89.5150321893286,46.2562119262939
"Populus tremuloides Michx.","UNDE_008",0.81,-89.5150131050202,46.256235542401
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150346514132,46.256234468893
"Populus tremuloides Michx.","UNDE_008",0.81,-89.5150923618474,46.256254384991
"Acer rubrum L.","UNDE_008",0.81,-89.5151141622139,46.256248354495
"Acer rubrum L.","UNDE_008",0.81,-89.5151092007517,46.2562295912676
"Populus tremuloides Michx.","UNDE_008",0.81,-89.5151417822651,46.2562165112613
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5151519138536,46.2562231100122
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150771891983,46.2562040810303
"Populus tremuloides Michx.","UNDE_008",0.81,-89.5151396495904,46.2562363395058
"Populus tremuloides Michx.","UNDE_008",0.74,-89.5151620990482,46.2562665844274
"Acer saccharum Marshall","UNDE_008",0.74,-89.5151927757281,46.2562443174103
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150818147696,46.2561936074335
"Abies balsamea (L.) Mill.","UNDE_008",0.74,-89.5150894810063,46.2562659436243
"Abies balsamea (L.) Mill.","UNDE_008",0.81,-89.5150636015782,46.256239993523
