"species","plotID","uncertainty","x","y"
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365600130078,46.2305991796785
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.5365617047569,46.23067338278
"Betula papyrifera Marshall","UNDE_049",0.81,-89.5364721401383,46.2306028982896
"Populus tremuloides Michx.","UNDE_049",0.77,-89.5365307842696,46.2304708677604
"Picea glauca (Moench) Voss","UNDE_049",0.73,-89.53668338931,46.230441166536
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365779468897,46.2306399204153
"Picea glauca (Moench) Voss","UNDE_049",0.81,-89.5365876929189,46.2306205647605
"Fraxinus americana L.","UNDE_049",0.77,-89.5366466218703,46.2305228195408
"Picea glauca (Moench) Voss","UNDE_049",0.81,-89.5365456229305,46.230616605962
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365879553379,46.2306601908315
"Acer saccharum Marshall","UNDE_049",0.73,-89.5366995556424,46.2304083487011
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5367102616477,46.230765937541
"Betula papyrifera Marshall","UNDE_049",0.73,-89.5366586558307,46.2304447427424
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5366069697429,46.230709870274
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5365997675512,46.2305966757677
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.5365892961099,46.2307256884199
"Populus tremuloides Michx.","UNDE_049",0.77,-89.5364938218723,46.2304233641406
"Abies balsamea (L.) Mill.","UNDE_049",0.73,-89.5366749490627,46.2304358344084
"Populus tremuloides Michx.","UNDE_049",0.81,-89.5365137543941,46.2306588637883
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5366930575928,46.2307505026785
"Populus tremuloides Michx.","UNDE_049",0.77,-89.5365097367965,46.2304774261604
"Populus tremuloides Michx.","UNDE_049",0.78,-89.5364956194668,46.230755958358
"Abies balsamea (L.) Mill.","UNDE_049",0.73,-89.5366698500167,46.2304495780172
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5366537598163,46.2305731234073
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.536605705366,46.2306021270212
"Ulmus americana L.","UNDE_049",0.81,-89.5365251984266,46.2305550535576
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.5365759326197,46.2306774049406
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5366101413053,46.2304624803353
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365647944846,46.2306575723764
"Picea glauca (Moench) Voss","UNDE_049",0.81,-89.5365747526276,46.2305989188506
"Populus tremuloides Michx.","UNDE_049",0.78,-89.5365090385814,46.2306835711286
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.536539897893,46.2306017890193
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5365959542909,46.2304168913855
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365413518442,46.2306228601183
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5365768843716,46.2306577282816
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.536463993793,46.2305498912532
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.536556401105,46.2307559407
"Populus tremuloides Michx.","UNDE_049",0.81,-89.5364761766476,46.2306462246939
"Populus tremuloides Michx.","UNDE_049",0.77,-89.5365712504826,46.230469871427
"Populus tremuloides Michx.","UNDE_049",0.81,-89.5364564365615,46.2305612132396
"Populus tremuloides Michx.","UNDE_049",0.78,-89.536519908847,46.2307416015871
"Betula papyrifera Marshall","UNDE_049",0.73,-89.5366435261323,46.2304109075696
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.5365649410219,46.2307155041091
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5366433084443,46.2305732146226
"Picea glauca (Moench) Voss","UNDE_049",0.75,-89.5366946247835,46.2307562063865
"Populus tremuloides Michx.","UNDE_049",0.81,-89.5364814802255,46.2305727388074
"Acer saccharum Marshall","UNDE_049",0.77,-89.5365306555552,46.2304366224795
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5368295153981,46.2306798190892
"Acer saccharum Marshall","UNDE_049",0.81,-89.5364748492926,46.2306353806854
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5366648175572,46.2305315533885
"Betula papyrifera Marshall","UNDE_049",0.77,-89.536642269649,46.2305414440463
"Abies balsamea (L.) Mill.","UNDE_049",0.77,-89.5366572292204,46.2305187874651
"Betula papyrifera Marshall","UNDE_049",0.75,-89.5366727749356,46.230705341445
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.5365741602274,46.2307117905916
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5364784192877,46.2305179594511
"Abies balsamea (L.) Mill.","UNDE_049",0.73,-89.536634994611,46.2304479257127
"Abies balsamea (L.) Mill.","UNDE_049",0.81,-89.5365484676922,46.2306312534835
"Populus tremuloides Michx.","UNDE_049",0.77,-89.536550728802,46.2304419221413
"Populus tremuloides Michx.","UNDE_049",0.81,-89.5364600181113,46.2305090645233
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5366197601103,46.2307255015393
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5366151378424,46.2307310536498
"Abies balsamea (L.) Mill.","UNDE_049",0.78,-89.536573270295,46.2306998959402
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5367864546474,46.2307026172446
"Betula papyrifera Marshall","UNDE_049",0.77,-89.5366455946966,46.2306265733597
"Abies balsamea (L.) Mill.","UNDE_049",0.75,-89.5366052327872,46.2307566629624
